Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
46,2.0,0.0,0.0,454.0,6.0,40.0,2465.0,0.1,25.205000000000016,0.0,0.0,572.3547079563141,,,,,,,,,,,,,,,,,,,,,8.985487997309667,8.592197549975346,24.89534627731597,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,488.0,7.0,34.0,2499.0,0.1,17.70700000000002,0.0,0.0,576.2177405357361,,,,,,,,,,,,,,,,,,,,,5.5241109754024205,6.0888120325758734,17.554271214995097,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,543.0,8.0,55.0,2554.0,0.1,24.70700000000001,0.0,0.0,581.8062694072723,,,,,,,,,,,,,,,,,,,,,8.954302853877042,7.215100985458448,24.263015110242137,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,566.0,9.0,23.0,2577.0,0.1,9.005999999999995,0.0,0.0,584.2464990615845,,,,,,,,,,,,,,,,,,,,,2.5825402232666366,3.0871633568737615,8.964521653650515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,666.0,10.0,100.0,2677.0,0.1,53.40600000000001,0.0,0.0,594.0921411514282,,,,,,,,,,,,,,,,,,,,,19.74035756422644,15.637268724725155,51.53498267394258,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,703.0,11.0,37.0,2714.0,0.1,15.506999999999993,0.0,0.0,597.8736009597778,,,,,,,,,,,,,,,,,,,,,4.368874691588383,5.022436320534031,15.376088437197192,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,759.0,12.0,56.0,2770.0,0.1,35.706999999999994,0.0,0.0,603.6671738624573,,,,,,,,,,,,,,,,,,,,,13.489159387045405,11.947681632149646,35.02161528327673,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,789.0,13.0,30.0,2800.0,0.1,12.306999999999993,0.0,0.0,606.9318811893463,,,,,,,,,,,,,,,,,,,,,3.392653303348231,4.1185970099448586,12.229667506244539,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,887.0,14.0,98.0,2898.0,0.1,47.605000000000025,0.0,0.0,616.5446219444275,,,,,,,,,,,,,,,,,,,,,21.37373208818453,12.782336668328123,45.601531717260734,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,916.0,15.0,29.0,2927.0,0.1,14.004999999999995,0.0,0.0,619.6569442749023,,,,,,,,,,,,,,,,,,,,,4.547176239786381,4.6905686865819245,13.900919827781934,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,966.0,16.0,50.0,2977.0,0.1,23.40700000000003,0.0,0.0,624.898419380188,,,,,,,,,,,,,,,,,,,,,6.821820601153528,7.488676194422506,23.112110077988223,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1000.0,17.0,34.0,3011.0,0.1,21.005000000000013,0.0,0.0,628.2744345664978,,,,,,,,,,,,,,,,,,,,,7.522697637307727,7.230533328275625,20.790789067677828,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1075.0,18.0,75.0,3086.0,0.1,40.706,0.0,0.0,635.6649510860443,,,,,,,,,,,,,,,,,,,,,15.459117656078545,11.700973014482365,39.62577810622845,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1168.0,19.0,93.0,3179.0,0.1,57.406,0.0,0.0,645.1297817230225,,,,,,,,,,,,,,,,,,,,,25.48055817779558,18.015969752267935,55.14654603498897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
